,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Incomplete_Rides,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images,Booking_Date,Booking_Time,Booking_Month,Total_Revenue,Total_Bookings
0,CNR7153255142,Canceled by Driver,CID713523,Prime Sedan,Tumkur Road,RT Nagar,,444,,0,,,#NAME?,2024-07-26,14:00:00,7,11148671,20407
1,CNR2940424040,Success,CID225428,Bike,Magadi Road,Varthur,No,158,Cash,13,4.1,4.0,#NAME?,2024-07-25,22:20:00,7,11148671,20407
2,CNR2982357879,Success,CID270156,Prime SUV,Sahakar Nagar,Varthur,No,386,UPI,40,4.2,4.8,#NAME?,2024-07-30,19:59:00,7,11148671,20407
3,CNR2395710036,Canceled by Customer,CID581320,eBike,HSR Layout,Vijayanagar,,384,,0,,,#NAME?,2024-07-22,03:15:00,7,11148671,20407
4,CNR1797421769,Success,CID939555,Mini,Rajajinagar,Chamarajpet,No,822,Credit Card,45,4.0,3.0,#NAME?,2024-07-02,09:02:00,7,11148671,20407
5,CNR8787177882,Success,CID802429,Mini,Kadugodi,Vijayanagar,No,173,UPI,41,3.4,4.6,#NAME?,2024-07-13,04:42:00,7,11148671,20407
6,CNR3612067560,Success,CID476071,Bike,Tumkur Road,Whitefield,No,140,Cash,49,3.2,4.5,#NAME?,2024-07-23,09:51:00,7,11148671,20407
7,CNR5374902489,Canceled by Driver,CID735691,Prime Plus,Bannerghatta Road,Sarjapur Road,,344,,0,,,#NAME?,2024-07-11,11:12:00,7,11148671,20407
8,CNR5030602354,Driver Not Found,CID999840,Mini,Chamarajpet,Peenya,,839,,0,,,#NAME?,2024-07-01,19:19:00,7,11148671,20407
9,CNR6328453219,Canceled by Driver,CID907133,Auto,RT Nagar,Varthur,,893,,0,,,#NAME?,2024-07-18,01:31:00,7,11148671,20407
10,CNR4787583516,Success,CID923404,Prime Plus,Hosur Road,Jayanagar,No,164,Cash,46,4.5,3.4,#NAME?,2024-07-29,23:33:00,7,11148671,20407
11,CNR7943634301,Success,CID647026,Prime Plus,Kammanahalli,Rajajinagar,No,399,Cash,18,3.9,4.4,#NAME?,2024-07-26,04:03:00,7,11148671,20407
12,CNR4524472111,Success,CID540929,Auto,Cox Town,Yelahanka,No,330,UPI,8,3.0,4.8,#NAME?,2024-07-27,13:18:00,7,11148671,20407
13,CNR3914552212,Canceled by Driver,CID557845,Auto,Hosur Road,Banashankari,,427,,0,,,#NAME?,2024-07-17,18:55:00,7,11148671,20407
14,CNR8181602032,Success,CID167642,Bike,Indiranagar,MG Road,No,378,UPI,18,4.8,4.1,#NAME?,2024-07-16,09:54:00,7,11148671,20407
15,CNR8090918544,Success,CID640151,Bike,Magadi Road,HSR Layout,No,343,UPI,23,3.7,3.6,#NAME?,2024-07-02,10:25:00,7,11148671,20407
16,CNR3211335290,Driver Not Found,CID630354,Mini,Ramamurthy Nagar,BTM Layout,,366,,0,,,#NAME?,2024-07-02,23:50:00,7,11148671,20407
17,CNR3196156650,Success,CID243275,Bike,Electronic City,Langford Town,No,401,Cash,8,3.3,3.9,#NAME?,2024-07-05,23:42:00,7,11148671,20407
18,CNR9975925287,Success,CID162055,Prime SUV,Magadi Road,RT Nagar,No,343,UPI,17,3.0,3.8,#NAME?,2024-07-09,11:11:00,7,11148671,20407
19,CNR1591113431,Success,CID902781,eBike,Koramangala,Sarjapur Road,No,2014,Cash,33,4.2,4.9,#NAME?,2024-07-12,14:44:00,7,11148671,20407
20,CNR3650331573,Success,CID217093,eBike,Basavanagudi,Hulimavu,No,650,Cash,34,4.9,3.4,#NAME?,2024-07-11,20:42:00,7,11148671,20407
21,CNR6013805089,Success,CID817034,Prime Sedan,Padmanabhanagar,Jayanagar,No,231,Cash,2,3.2,3.7,#NAME?,2024-07-08,22:33:00,7,11148671,20407
22,CNR4306636052,Canceled by Driver,CID103842,Prime SUV,Mysore Road,Vijayanagar,,909,,0,,,#NAME?,2024-07-16,10:17:00,7,11148671,20407
23,CNR9832070187,Success,CID655872,Bike,Koramangala,BTM Layout,No,189,Cash,6,4.9,3.3,#NAME?,2024-07-03,18:20:00,7,11148671,20407
24,CNR5620539253,Success,CID290480,Prime Plus,Mysore Road,Sahakar Nagar,No,311,Cash,28,4.3,3.0,#NAME?,2024-07-03,21:17:00,7,11148671,20407
